in.position.x,in.position.y,in.forward_vector.x,in.forward_vector.y,in.speed_ms,in.steering_angle_deg,vaste.whalbase_position.x,vaste.whalbase_position.y,vaste.front_axle_position.x,vaste.front_axle_position.y,vaste.rear_axle_position.x,vaste.rear_axle_position.y,vaste.forward_vector.x,vaste.forward_vector.y,vaste.result.acceleration,vaste.result.steering_angle_deg,control_point_distance_to_path
21.8806289,19.7267215,-0.6967773,0.7172876,0.5365153,10.4275389,21.8806289,19.7267215,20.5567520,21.0895678,23.2045057,18.3638751,-0.6967773,0.7172876,0.8211616,7.8562188,-0.3192485
21.8806289,19.7267215,-0.6967773,0.7172876,0.5365153,10.4275389,21.8806289,19.7267215,20.5567520,21.0895678,23.2045057,18.3638751,-0.6967773,0.7172876,0.8211616,7.8562188,-0.3192485
21.8639870,19.7485758,-0.6959578,0.7180827,0.5594962,9.0621710,21.8639870,19.7485758,20.5416672,21.1129328,23.1863069,18.3842187,-0.6959578,0.7180827,0.8135013,6.8277670,-0.3176471
21.8639870,19.7485758,-0.6959578,0.7180827,0.5594962,9.0621710,21.8639870,19.7485758,20.5416672,21.1129328,23.1863069,18.3842187,-0.6959578,0.7180827,0.8135013,6.8277670,-0.3176471
21.8639870,19.7485758,-0.6952122,0.7188046,0.5804589,7.8562179,21.8639870,19.7485758,20.5430839,21.1143044,23.1848902,18.3828471,-0.6952122,0.7188046,0.8065137,5.9926747,-0.3156847
21.8464778,19.7711468,-0.6952122,0.7188046,0.5804589,7.8562179,21.8464778,19.7711468,20.5255747,21.1368755,23.1673810,18.4054182,-0.6952122,0.7188046,0.8065137,5.9664284,-0.3160084
21.8464778,19.7711468,-0.6952122,0.7188046,0.5804589,7.8562179,21.8464778,19.7711468,20.5255747,21.1368755,23.1673810,18.4054182,-0.6952122,0.7188046,0.8065137,5.9664284,-0.3160084
21.8281620,19.7943788,-0.6945370,0.7194570,0.6001792,6.8277669,21.8281620,19.7943788,20.5085417,21.1613470,23.1477824,18.4274105,-0.6945370,0.7194570,0.7999403,5.2287861,-0.3143360
21.8281620,19.7943788,-0.6945370,0.7194570,0.6001792,6.8277669,21.8281620,19.7943788,20.5085417,21.1613470,23.1477824,18.4274105,-0.6945370,0.7194570,0.7999403,5.2287861,-0.3143360
21.8281620,19.7943788,-0.6939249,0.7200474,0.6190824,5.9664278,21.8281620,19.7943788,20.5097047,21.1624688,23.1466194,18.4262888,-0.6939249,0.7200474,0.7936392,4.5726061,-0.3127277
21.8090826,19.8182470,-0.6939249,0.7200474,0.6190824,5.9664278,21.8090826,19.8182470,20.4906253,21.1863370,23.1275400,18.4501569,-0.6939249,0.7200474,0.7936392,4.5882127,-0.3126283
21.8090826,19.8182470,-0.6939249,0.7200474,0.6190824,5.9664278,21.8090826,19.8182470,20.4906253,21.1863370,23.1275400,18.4501569,-0.6939249,0.7200474,0.7936392,4.5882127,-0.3126283
21.7892886,19.8427341,-0.6933692,0.7205825,0.6374084,5.2287855,21.7892886,19.8427341,20.4718872,21.2118409,23.1066901,18.4736272,-0.6933692,0.7205825,0.7875305,4.0265296,-0.3108950
21.7892886,19.8427341,-0.6933692,0.7205825,0.6374084,5.2287855,21.7892886,19.8427341,20.4718872,21.2118409,23.1066901,18.4736272,-0.6933692,0.7205825,0.7875305,4.0265296,-0.3108950
21.7892886,19.8427341,-0.6928653,0.7210671,0.6552881,4.5882120,21.7892886,19.8427341,20.4728446,21.2127615,23.1057327,18.4727066,-0.6928653,0.7210671,0.7815706,3.4837143,-0.3095728
21.7687930,19.8678300,-0.6928653,0.7210671,0.6552881,4.5882120,21.7687930,19.8678300,20.4523490,21.2378574,23.0852370,18.4978026,-0.6928653,0.7210671,0.7815706,3.5335227,-0.3091279
21.7687930,19.8678300,-0.6928653,0.7210671,0.6552881,4.5882120,21.7687930,19.8678300,20.4523490,21.2378574,23.0852370,18.4978026,-0.6928653,0.7210671,0.7815706,3.5335227,-0.3091279
21.7476334,19.8935199,-0.6924092,0.7215050,0.6727944,4.0265293,21.7476334,19.8935199,20.4320559,21.2643794,23.0632109,18.5226604,-0.6924092,0.7215050,0.7757352,3.1002074,-0.3073363
21.7476334,19.8935199,-0.6924092,0.7215050,0.6727944,4.0265293,21.7476334,19.8935199,20.4320559,21.2643794,23.0632109,18.5226604,-0.6924092,0.7215050,0.7757352,3.1002074,-0.3073363
21.7476334,19.8935199,-0.6919969,0.7219004,0.6899694,3.5335224,21.7476334,19.8935199,20.4328392,21.2651307,23.0624276,18.5219091,-0.6919969,0.7219004,0.7700102,2.6414635,-0.3062556
21.7258155,19.9198015,-0.6919969,0.7219004,0.6899694,3.5335224,21.7258155,19.9198015,20.4110213,21.2914124,23.0406097,18.5481907,-0.6919969,0.7219004,0.7700102,2.7208639,-0.3055125
21.7258155,19.9198015,-0.6919969,0.7219004,0.6899694,3.5335224,21.7258155,19.9198015,20.4110213,21.2914124,23.0406097,18.5481907,-0.6919969,0.7219004,0.7700102,2.7208639,-0.3055125
21.7033693,19.9466623,-0.6916241,0.7222577,0.7068377,3.1002071,21.7033693,19.9466623,20.3892836,21.3189519,23.0174550,18.5743727,-0.6916241,0.7222577,0.7643874,2.3894370,-0.3036605
21.7033693,19.9466623,-0.6916241,0.7222577,0.7068377,3.1002071,21.7033693,19.9466623,20.3892836,21.3189519,23.0174550,18.5743727,-0.6916241,0.7222577,0.7643874,2.3894370,-0.3036605
21.7033693,19.9466623,-0.6912885,0.7225788,0.7234152,2.7208636,21.7033693,19.9466623,20.3899211,21.3195621,23.0168175,18.5737625,-0.6912885,0.7225788,0.7588616,1.9969069,-0.3027818
21.6803081,19.9740978,-0.6912885,0.7225788,0.7234152,2.7208636,21.6803081,19.9740978,20.3668599,21.3469976,22.9937563,18.6011980,-0.6912885,0.7225788,0.7588616,2.1018489,-0.3017826
21.6803081,19.9740978,-0.6912885,0.7225788,0.7234152,2.7208636,21.6803081,19.9740978,20.3668599,21.3469976,22.9937563,18.6011980,-0.6912885,0.7225788,0.7588616,2.1018489,-0.3017826
21.6566395,20.0021077,-0.6909863,0.7228679,0.7397127,2.3894367,21.6566395,20.0021077,20.3437655,21.3755566,22.9695135,18.6286588,-0.6909863,0.7228679,0.7534291,1.8542152,-0.2998736
21.6566395,20.0021077,-0.6909863,0.7228679,0.7397127,2.3894367,21.6566395,20.0021077,20.3437655,21.3755566,22.9695135,18.6286588,-0.6909863,0.7228679,0.7534291,1.8542152,-0.2998736
21.6566395,20.0021077,-0.6907145,0.7231276,0.7557395,2.1018486,21.6566395,20.0021077,20.3442820,21.3760501,22.9689970,18.6281652,-0.6907145,0.7231276,0.7480868,1.5151015,-0.2991622
21.6323937,20.0306812,-0.6907145,0.7231276,0.7557395,2.1018486,21.6323937,20.0306812,20.3200362,21.4046236,22.9447511,18.6567387,-0.6907145,0.7231276,0.7480868,1.6421385,-0.2979429
21.6323937,20.0306812,-0.6907145,0.7231276,0.7557395,2.1018486,21.6323937,20.0306812,20.3200362,21.4046236,22.9447511,18.6567387,-0.6907145,0.7231276,0.7480868,1.6421385,-0.2979429
21.6075761,20.0598124,-0.6904687,0.7233622,0.7715005,1.8542150,21.6075761,20.0598124,20.2956855,21.4342006,22.9194667,18.6854241,-0.6904687,0.7233622,0.7428332,1.4628903,-0.2959798
21.6075761,20.0598124,-0.6904687,0.7233622,0.7715005,1.8542150,21.6075761,20.0598124,20.2956855,21.4342006,22.9194667,18.6854241,-0.6904687,0.7233622,0.7428332,1.4628903,-0.2959798
21.6075761,20.0598124,-0.6902468,0.7235741,0.7870025,1.6421384,21.6075761,20.0598124,20.2961073,21.4346031,22.9190449,18.6850217,-0.6902468,0.7235741,0.7376658,1.1669287,-0.2953992
21.5822058,20.0894985,-0.6902468,0.7235741,0.7870025,1.6421384,21.5822058,20.0894985,20.2707370,21.4642892,22.8936746,18.7147078,-0.6902468,0.7235741,0.7376658,1.3130817,-0.2939911
21.5822058,20.0894985,-0.6902468,0.7235741,0.7870025,1.6421384,21.5822058,20.0894985,20.2707370,21.4642892,22.8936746,18.7147078,-0.6902468,0.7235741,0.7376658,1.3130817,-0.2939911
21.5562960,20.1197353,-0.6900444,0.7237671,0.8022500,1.4628903,21.5562960,20.1197353,20.2452117,21.4948927,22.8673803,18.7445778,-0.6900444,0.7237671,0.7325833,1.1897487,-0.2919738
21.5562960,20.1197353,-0.6900444,0.7237671,0.8022500,1.4628903,21.5562960,20.1197353,20.2452117,21.4948927,22.8673803,18.7445778,-0.6900444,0.7237671,0.7325833,1.1897487,-0.2919738
21.5562960,20.1197353,-0.6898597,0.7239431,0.8172475,1.3130817,21.5562960,20.1197353,20.2455625,21.4952271,22.8670294,18.7442434,-0.6898597,0.7239431,0.7275842,0.9287575,-0.2914911
21.5298635,20.1505143,-0.6898597,0.7239431,0.8172475,1.3130817,21.5298635,20.1505143,20.2191301,21.5260062,22.8405970,18.7750225,-0.6898597,0.7239431,0.7275842,1.0971904,-0.2898910
21.5298635,20.1505143,-0.6898597,0.7239431,0.8172475,1.3130817,21.5298635,20.1505143,20.2191301,21.5260062,22.8405970,18.7750225,-0.6898597,0.7239431,0.7275842,1.0971904,-0.2898910
21.5029122,20.1818336,-0.6896900,0.7241047,0.8320004,1.1897486,21.5029122,20.1818336,20.1925011,21.5576326,22.8133232,18.8060345,-0.6896900,0.7241047,0.7226665,1.0301603,-0.2877563
21.5029122,20.1818336,-0.6896900,0.7241047,0.8320004,1.1897486,21.5029122,20.1818336,20.1925011,21.5576326,22.8133232,18.8060345,-0.6896900,0.7241047,0.7226665,1.0301603,-0.2877563
21.5029122,20.1818336,-0.6895315,0.7242557,0.8465116,1.0971904,21.5029122,20.1818336,20.1928023,21.5579193,22.8130220,18.8057478,-0.6895315,0.7242557,0.7178295,0.7976204,-0.2873422
