x;y
17.5732;25.0322
17.5576;25.0549
17.5337;25.0777
17.5179;25.1002
17.4945;25.1342
17.4706;25.1571
17.4469;25.18
17.4313;25.2027
17.4077;25.2258
17.3929;25.2598
17.3693;25.2829
17.3541;25.3059
17.3307;25.3292
17.3158;25.3632
17.2924;25.3864
17.2691;25.4097
17.2541;25.4329
17.2311;25.4672
17.2158;25.4901
17.1924;25.5133
17.1772;25.5363
17.1538;25.5596
17.1388;25.5935
17.1152;25.6166
17.0999;25.6395
17.0767;25.6735
17.0612;25.6963
17.0376;25.7194
17.014;25.7425
16.9986;25.7653
16.9759;25.7999
16.9607;25.8229
16.9373;25.8461
16.9226;25.8802
16.8993;25.9036
16.884;25.9265
16.8604;25.9496
16.837;25.9728
16.822;26.0067
16.7984;26.0298
16.7831;26.0527
16.7595;26.0758
16.7445;26.1097
16.7208;26.1327
16.6973;26.1559
16.6817;26.1786
16.6581;26.2017
16.635;26.2359
16.6196;26.2587
16.5961;26.2819
16.5814;26.316
16.5581;26.3394
16.543;26.3624
16.52;26.3967
16.4967;26.4201
16.4813;26.4429
16.4578;26.4661
16.435;26.5006
16.4197;26.5235
16.3964;26.5468
16.3809;26.5696
16.358;26.6039
16.3344;26.627
16.3194;26.6609
16.2958;26.684
16.2721;26.707
16.2565;26.7296
16.2335;26.764
16.2099;26.7871
16.1946;26.81
16.1946;26.81
16.1566;26.8674
16.1337;26.9018
16.1102;26.925
16.0951;26.948
16.0724;26.9826
16.0491;27.006
16.0339;27.029
16.0108;27.0525
15.9878;27.0868
15.9724;27.1096
15.9488;27.1327
15.926;27.1672
15.9106;27.19
15.8875;27.2243
15.8638;27.2473
15.8483;27.27
15.8247;27.2931
15.8016;27.3274
15.786;27.35
15.7624;27.3731
15.7396;27.4076
15.7162;27.4308
15.7015;27.4649
15.678;27.4882
15.6629;27.5112
15.6399;27.5455
15.6163;27.5686
15.601;27.5915
15.5774;27.6146
15.5545;27.6489
15.5392;27.6718
15.5156;27.6949
15.4926;27.7293
15.4775;27.7523
15.4545;27.7866
15.4309;27.8097
15.4158;27.8327
15.3926;27.867
15.3692;27.8902
15.3539;27.9131
